city,destination,country
108 Mile Ranch,ZMH,Canada
Aachen,AAH,Germany
Aachen,ZIU,Germany
Aalborg,AAL,Denmark
Aalesund,AES,Norway
Aarhus,AAR,Denmark
Aarhus Limo,ZBU,Denmark
Aasiaat,JEG,Greenland
Abadan,ABD,Iran
Abaiang,ABF,Kiribati
Abakan,ABA,Russian Federation
Abau,ABW,Papua New Guinea
Abbotsford,YXX,Canada
Abbottabad,AAW,Pakistan
Abbse,EAB,Yemen
City name,Airport Code,Country name
Abecher,AEH,Chad
Abemama Atoll,AEA,Kiribati
Abengourou,OGO,Cote D'Ivoire (Ivory Coast)
Aberdeen,ABZ,United Kingdom
Aberdeen,APG,United States
Aberdeen,ABR,United States
Abha,AHB,Saudi Arabia
Abidjan,ABJ,Cote D'Ivoire (Ivory Coast)
Abilene,DYS,United States
Abilene,ABI,United States
Abingdon,ABB,United Kingdom
Abingdon,ABG,Australia
Abingdon,VJI,United States
Aboisso,ABO,Cote D'Ivoire (Ivory Coast)
Abou Deia,AOD,Chad
Abreojos,AJS,Mexico
City name,Airport Code,Country name
Abu Dhabi,AUH,United Arab Emirates
Abu Dhabi,DHF,United Arab Emirates
Abu Dhabi,AZI,United Arab Emirates
Abu Musa,AEU,Iran
Abu Rudeis,AUE,Egypt
Abu Simbel,ABS,Egypt
Abuja,ABV,Nigeria
Acandi,ACD,Colombia
Acaricuara,ARF,Colombia
Acarigua,AGV,Venezuela
Accra,ACC,Ghana
Achinsk,ACS,Russian Federation
Achutupo,ACU,Panama
Ada,ADT,United States
Adak Island,ADK,United States
Adana,ADA,Turkey
City name,Airport Code,Country name
Adana,UAB,Turkey
Ad-Dabbah,AAD,Sudan
Addis Ababa,ADD,Ethiopia
Adelaide,ADL,Australia
Adelaide,XHX,Australia
Aden,ADE,Yemen
Adiyaman,ADF,Turkey
Adler/Sochi,AER,Russian Federation
Adrar,AZR,Algeria
Adrian,ADG,United States
Aek Godang,AEG,Indonesia
Afore,AFR,Papua New Guinea
Afton,AFO,United States
Afutara,AFT,Solomon Islands
Afyon,AFY,Turkey
Agades,AJY,Niger
City name,Airport Code,Country name
Agadir,AGA,Morocco
Agartala,IXA,India
Agatti Island,AGX,India
Agaun,AUP,Papua New Guinea
Agen,AGF,France
Aggeneys,AGZ,South Africa
Aghajari,AKW,Iran
Agnew,AGW,Australia
Agra,AGR,India
Agri,AJI,Turkey
Agrinion,AGQ,Greece
Aguaclara,ACL,Colombia
Aguadilla,BQN,Puerto Rico
Aguascalientes,AGU,Mexico
Aguni,AGJ,Japan
Ahe,AHE,French Polynesia
City name,Airport Code,Country name
Ahmed Al Jaber,XIJ,Kuwait
Ahmedabad,AMD,India
Ahuas,AHS,Honduras
Ahwaz,AWZ,Iran
Ai-Ais,AIW,Namibia
Aiambak,AIH,Papua New Guinea
Aiken,AIK,United States
Ailigandi,AIL,Panama
Ailinglapalap Island,AIP,Marshall Islands
Ailuk Island,AIM,Marshall Islands
Ainsworth,ANW,United States
Aiome,AIE,Papua New Guinea
Aioun El Atrouss,AEO,Mauritania
Airlie Beach,WSY,Australia
Airok,AIC,Marshall Islands
Aishalton,AHL,Guyana
City name,Airport Code,Country name
Aitape,ATP,Papua New Guinea
Aitape,TAJ,Papua New Guinea
Aitutaki,AIT,Cook Islands
Aix La Chapelle,XHJ,Germany
Aiyura,AYU,Papua New Guinea
Aizawl,AJL,India
Ajaccio,AJA,France
Akhiok,AKK,United States
Akiachak,KKI,United States
Akiak,AKI,United States
Akieni,AKE,Gabon
Akita,AXT,Japan
Akjoujt,AJJ,Mauritania
Aklavik,LAK,Canada
Akola,AKD,India
Akron,AKO,United States
City name,Airport Code,Country name
Akron/Canton,CAK,United States
Akron/Canton,AKC,United States
Akrotiri,AKT,Cyprus
Aksu,AKU,China
Aktau,SCO,Kazakhstan
